code,first_name,last_name,phonetic
USA,Barack,Obama,(buh-RAHK oh-BAH-muh)
AL-01,Bradley,Byrne,(BRADD-lee BURN)
AL-02,Martha,Roby,(MAR-thuh ROH-bee)
AL-03,Mike,Rogers,(MIKE RAH-jerz)
AL-04,Robert,Aderholt,(RAH-bert ADD-er-holt)
AL-05,Mo,Brooks,(MOH BROOKS)
AL-06,Gary,Palmer,(GAIR-ee PAWL-mer)
AL-07,Terri,Sewell,(TAIR-ee SOO-uhl)
AK-AL,Don,Young,(DAHN YUHNG)
AZ-01,Ann,Kirkpatrick,(ANN kirk-PAT-trick
AZ-02,Martha,McSally,(MAR-thuh mik-SAL-ee)
AZ-03,Raúl,Grijalva,(rah-OOL gree-HAL-vuh) [Rs are trilled]
AZ-04,Paul,Gosar,(PAWL GOH-sar)
AZ-05,Matt,Salmon,(MAT SAM-uhn)
AZ-06,David,Schweikert,(DAY-vid SHWAHY-kert)
AZ-07,Ruben,Gallego,(ROO-bin GUY-ay-goh)
AZ-08,Trent,Franks,(CHRENT FRAYNKS)
AZ-09,Kyrsten,Sinema,(KEER-sten SIN-eh-muh)
AR-01,Rick,Crawford,(RICK KRAW-ferd)
AR-02,French,Hill,(FRENCH HILL)
AR-03,Steve,Womack,(STEEV WOH-mack)
AR-04,Bruce,Westerman,(BROOS WEST-er-muhn)
CA-01,Doug,LaMalfa,(DUHG luh-MAL-fuh)
CA-02,Jared,Huffman,(JAIR-ed HUHF-muhn)
CA-03,John,Garamendi,(JAHN gair-uh-MEN-dee)
CA-04,Tom,McClintock,(TAHM mu-KLIN-tahk)
CA-05,Mike,Thompson,(MIKE TAHMP-suhn)
CA-06,Doris,Matsui,(DOR-iss matt-SOO-ee)
CA-07,Ami,Bera,(AH-mee BEAR-uh)
CA-08,Paul,Cook,(PAWL COOK)
CA-09,Jerry,McNerney,(JAIR-ee mick-NER-nee)
CA-10,Jeff,Denham,(JEFF DEN-um)
CA-11,Mark,DeSaulnier,(MARK duh-SOWN-yay)
CA-12,Nancy,Pelosi,(NANN-see puh-LOW-see)
CA-13,Barbara,Lee,(BAR-bruh LEE)
CA-14,Jackie,Speier,(JACK-ee SPEAR)
CA-15,Eric,Swalwell,(AIR-ick SWAWL-well)
CA-16,Jim,Costa,(JIM KAH-stuh)
CA-17,Mike,Honda,(MIKE HAHN-duh)
CA-18,Anna,Eshoo,(ANN-uh EH-shoo)
CA-19,Zoe,Lofgren,(ZOH LAWF-gren)
CA-20,Sam,Farr,(SAM FAHR)
CA-21,David,Valadao,(DAY-vid val-uh-DAY-oh)
CA-22,Devin,Nunes,(DEH-vin NOO-niss)
CA-23,Kevin,McCarthy,(KEH-vin muh-CAR-thee)
CA-24,Lois,Capps,(LOW-iss KAPPS)
CA-25,Steve,Knight,(STEVE NITE)
CA-26,Julia,Brownley,(JOO-lee-uh BROWN-lee)
CA-27,Judy,Chu,(JOO-dee CHOO)
CA-28,Adam,Schiff,(ADD-uhm SHIFF)
CA-29,Tony,Cardenas,(TOH-nee CAR-deh-nahs) [R is trilled]
CA-30,Brad,Sherman,(BRADD SHUR-muhn)
CA-31,Pete,Aguilar,(PETE AGG-yuh-lar)
CA-32,Grace,Napolitano,(GRACE nuh-pol-ee-TAN-oh) [O is unrounded]
CA-33,Ted,Lieu,(TEDD LOO)
CA-34,Xavier,Becerra,(ha-vee-AIR bih-SAIR-uh) [second R is trilled]
CA-35,Norma,Torres,(NOR-muh TOR-ez)
CA-36,Raul,Ruiz,(ra-OOL roo-EEZ)
CA-37,Karen,Bass,(KAIR-in BASS)
CA-38,Linda,Sánchez,(LIN-duh SAN-chez)
CA-39,Ed,Royce,(ED ROYS)
CA-40,Lucille,Roybal-Allard,(loo-SEEL ROY-bawl AL-lurd)
CA-41,Mark,Takano,(MARK tuh-KAHN-noh)
CA-42,Ken,Calvert,(KEN KAL-vert)
CA-43,Maxine,Waters,(MACK-seen WAH-terz)
CA-44,Janice,Hahn,(JAN-iss HAHN)
CA-45,Mimi,Walters,(MEE-mee WAWL-terz)
CA-46,Loretta,Sanchez,(lor-ETT-uh SAN-chez)
CA-47,Alan,Lowenthal,(AL-en LOW-en-thawl)
CA-48,Dana,Rohrabacher,(DAY-nuh RUHR-uh-bah-kerr)
CA-49,Darrell,Issa,(DAIR-uhl ICE-uh)
CA-50,Duncan,Hunter,(DUHN-kuhn HUHN-ner)
CA-51,Juan,Vargas,(WAHN VAR-gus)
CA-52,Scott,Peters,(SKAHT PEE-terz)
CA-53,Susan,Davis,(SOO-zuhn DAY-viss)
CO-01,Diana,DeGette,(die-ANN-uh duh-GET)
CO-02,Jared,Polis,(JAIR-ed POLL-iss)
CO-03,Scott,Tipton,(SKAHT TIP-ton)
CO-04,Ken,Buck,(KEN BUHK)
CO-05,Doug,Lamborn,(DUHG LAMB-BORN) [equal stress]
CO-06,Mike,Coffman,(MIKE KAWF-min)
CO-07,Ed,Perlmutter,(ED PEARL-mutt-er)
CT-01,John,Larson,(JAHN LAR-suhn)
CT-02,Joe,Courtney,(JOH KORT-nee)
CT-03,Rosa,DeLauro,(ROH-zuh duh-LAR-oh)
CT-04,Jim,Himes,(JIM HAHYMZ)
CT-05,Elizabeth,Esty,(uh-LIZ-uh-bith EH-stee)
DE-AL,John,Carney,(JAHN CAR-nee)
FL-01,Jeff,Miller,(JEFF MILL-er)
FL-02,Gwen,Graham,(GWIN GRAMM)
FL-03,Ted,Yoho,(TED YOH-hoh)
FL-04,Ander,Crenshaw,(ANN-der KRIN-shaw)
FL-05,Corrine,Brown,(CORE-een BROWN)
FL-06,Ron,DeSantis,(RAHN dee-SAN-tiss)
FL-07,John,Mica,(JAHN MIKE-uh)
FL-08,Bill,Posey,(BILL POH-zee)
FL-09,Alan,Grayson,(AL-en GRAY-suhn)
FL-10,Daniel,Webster,(DAN-yuhl WEBB-ster)
FL-11,Rich,Nugent,(RICH NOO-gent)
FL-12,Gus,Bilirakis,(GUHS bill-uh-RACK-iss)
FL-13,David,Jolly,(DAY-vid JAH-lee)
FL-14,Kathy,Castor,(KATH-ee KAST-ur)
FL-15,Dennis,Ross,(DEN-iss RAWS)
FL-16,Vern,Buchanan,(VERN BYOO-kan-uhn)
FL-17,Tom,Rooney,(TAHM ROO-nee)
FL-18,Patrick,Murphy,(PAT-trick MUR-fee)
FL-19,Curt,Clawson,(KURT KLAW-suhn)
FL-20,Alcee,Hastings,(AL-see HAY-stingz)
FL-21,Ted,Deutch,(TED DOYCH)
FL-22,Lois,Frankel,(LOW-iss FRAYNK-uhl)
FL-23,Debbie,Wasserman Schultz,(DEB-ee WAH-ser-min SHUHLTS)
FL-24,Frederica,Wilson,(FRED-rick-uh WILL-suhn)
FL-25,Mario,Diaz-Balart,(MAR-ee-oh DEE-azz buh-LART)
FL-26,Carlos,Curbelo,"(KAR-lohs ker-BEL-oh) [first R is trilled, first O unrounded]"
FL-27,Ileana,Ros-Lehtinen,(ill-ee-AH-nuh RAWS LAYT-nin)
GA-01,Buddy,Carter,(BUH-dee CAR-ter)
GA-02,Sanford,Bishop,(SAN-ferd BISH-up)
GA-03,Lynn,Westmoreland,(LIN WEST-mor-lund)
GA-04,Hank,Johnson,(HAYNK JAHN-suhn)
GA-05,John,Lewis,(JAHN LOO-iss)
GA-06,Tom,Price,(TAHM PRICE)
GA-07,Rob,Woodall,(RAHB WOOD-awl)
GA-08,Austin,Scott,(AW-stin SKAHT)
GA-09,Doug,Collins,(DUG KAH-linz)
GA-10,Jody,Hice,(JO-dee HICE)
GA-11,Barry,Loudermilk,(BAIR-ee LOUD-er-milk)
GA-12,Rick,Allen,(RIK AL-en)
GA-13,David,Scott,(DAY-vid SKAHT)
GA-14,Tom,Graves,(TAHM GRAYVZ)
HI-01,Mark,Takai,(MARK tuh-KAI)
HI-02,Tulsi,Gabbard,(TUHL-si GAB-erd)
ID-01,Raúl,Labrador,(ra-OOL LAB-ruh-dor)
ID-02,Mike,Simpson,(MIKE SIMP-suhn)
IL-01,Bobby,Rush,(BAH-bee RUHSH)
IL-02,Robin,Kelly,(RAH-buhn KELL-ee)
IL-03,Dan,Lipinski,(DAN luh-PIN-skee)
IL-04,Luis,Gutiérrez,(loo-EES goo-tee-AIR-ez) [R is trilled]
IL-05,Mike,Quigley,(MIKE KWIG-lee)
IL-06,Peter,Roskam,(PEE-ter RAH-skum)
IL-07,Danny,Davis,(DAN-ee DAY-viss)
IL-08,Tammy,Duckworth,(TAM-ee DUCK-werth)
IL-09,Jan,Schakowsky,(JANN shuh-COW-skee)
IL-10,Bob,Dold,(BAHB DOLD)
IL-11,Bill,Foster,(BILL FAW-ster)
IL-12,Mike,Bost,(MIKE BAWST)
